"VAR","Variable","UNIT","Measure","COU","Country","YEA","Year","Value","Flag Codes","Flags"
"EVIEFE00","Females at birth","EVIDUREV","Years","AUS","Australia","2010","2010",84,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUS","Australia","2011","2011",84.2,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUS","Australia","2012","2012",84.3,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUS","Australia","2013","2013",84.3,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUS","Australia","2014","2014",84.4,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUS","Australia","2015","2015",84.5,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUS","Australia","2016","2016",84.6,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUS","Australia","2017","2017",84.6,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUS","Australia","2018","2018",84.9,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUS","Australia","2019","2019",85,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUS","Australia","2020","2020",85.3,,
"EVIEFE00","Females at birth","EVIDUREV","Years","AUS","Australia","2021","2021",85.4,,
"EVIEHO00","Males at birth","EVIDUREV","Years","AUS","Australia","2010","2010",79.5,,
"EVIEHO00","Males at birth","EVIDUREV","Years","AUS","Australia","2011","2011",79.7,,
"EVIEHO00","Males at birth","EVIDUREV","Years","AUS","Australia","2012","2012",79.9,,
"EVIEHO00","Males at birth","EVIDUREV","Years","AUS","Australia","2013","2013",80.1,,
"EVIEHO00","Males at birth","EVIDUREV","Years","AUS","Australia","2014","2014",80.3,,
"EVIEHO00","Males at birth","EVIDUREV","Years","AUS","Australia","2015","2015",80.4,,
"EVIEHO00","Males at birth","EVIDUREV","Years","AUS","Australia","2016","2016",80.4,,
"EVIEHO00","Males at birth","EVIDUREV","Years","AUS","Australia","2017","2017",80.5,,
"EVIEHO00","Males at birth","EVIDUREV","Years","AUS","Australia","2018","2018",80.7,,
"EVIEHO00","Males at birth","EVIDUREV","Years","AUS","Australia","2019","2019",80.9,,
"EVIEHO00","Males at birth","EVIDUREV","Years","AUS","Australia","2020","2020",81.2,,
"EVIEHO00","Males at birth","EVIDUREV","Years","AUS","Australia","2021","2021",81.3,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUS","Australia","2010","2010",81.7,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUS","Australia","2011","2011",81.9,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUS","Australia","2012","2012",82,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUS","Australia","2013","2013",82.1,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUS","Australia","2014","2014",82.3,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUS","Australia","2015","2015",82.4,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUS","Australia","2016","2016",82.4,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUS","Australia","2017","2017",82.5,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUS","Australia","2018","2018",82.7,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUS","Australia","2019","2019",82.9,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUS","Australia","2020","2020",83.2,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUS","Australia","2021","2021",83.3,,
"EVIEFE00","Females at birth","EVIFHOEV","Difference female-male (years)","AUS","Australia","2010","2010",4.5,,
"EVIEFE00","Females at birth","EVIFHOEV","Difference female-male (years)","AUS","Australia","2011","2011",4.5,,
"EVIEFE00","Females at birth","EVIFHOEV","Difference female-male (years)","AUS","Australia","2012","2012",4.4,,
"EVIEFE00","Females at birth","EVIFHOEV","Difference female-male (years)","AUS","Australia","2013","2013",4.2,,
"EVIEFE00","Females at birth","EVIFHOEV","Difference female-male (years)","AUS","Australia","2014","2014",4.1,,
"EVIEFE00","Females at birth","EVIFHOEV","Difference female-male (years)","AUS","Australia","2015","2015",4.1,,
"EVIEFE00","Females at birth","EVIFHOEV","Difference female-male (years)","AUS","Australia","2016","2016",4.2,,
"EVIEFE00","Females at birth","EVIFHOEV","Difference female-male (years)","AUS","Australia","2017","2017",4.1,,
"EVIEFE00","Females at birth","EVIFHOEV","Difference female-male (years)","AUS","Australia","2018","2018",4.2,,
"EVIEFE00","Females at birth","EVIFHOEV","Difference female-male (years)","AUS","Australia","2019","2019",4.1,,
"EVIEFE00","Females at birth","EVIFHOEV","Difference female-male (years)","AUS","Australia","2020","2020",4.1,,
"EVIEFE00","Females at birth","EVIFHOEV","Difference female-male (years)","AUS","Australia","2021","2021",4.1,,
"EVIEHO00","Males at birth","EVIHFEEV","Difference male-female (years)","AUS","Australia","2010","2010",-4.5,,
"EVIEHO00","Males at birth","EVIHFEEV","Difference male-female (years)","AUS","Australia","2011","2011",-4.5,,
"EVIEHO00","Males at birth","EVIHFEEV","Difference male-female (years)","AUS","Australia","2012","2012",-4.4,,
"EVIEHO00","Males at birth","EVIHFEEV","Difference male-female (years)","AUS","Australia","2013","2013",-4.2,,
"EVIEHO00","Males at birth","EVIHFEEV","Difference male-female (years)","AUS","Australia","2014","2014",-4.1,,
"EVIEHO00","Males at birth","EVIHFEEV","Difference male-female (years)","AUS","Australia","2015","2015",-4.1,,
"EVIEHO00","Males at birth","EVIHFEEV","Difference male-female (years)","AUS","Australia","2016","2016",-4.2,,
"EVIEHO00","Males at birth","EVIHFEEV","Difference male-female (years)","AUS","Australia","2017","2017",-4.1,,
"EVIEHO00","Males at birth","EVIHFEEV","Difference male-female (years)","AUS","Australia","2018","2018",-4.2,,
"EVIEHO00","Males at birth","EVIHFEEV","Difference male-female (years)","AUS","Australia","2019","2019",-4.1,,
"EVIEHO00","Males at birth","EVIHFEEV","Difference male-female (years)","AUS","Australia","2020","2020",-4.1,,
"EVIEHO00","Males at birth","EVIHFEEV","Difference male-female (years)","AUS","Australia","2021","2021",-4.1,,
